Date,Draw,B1,B2,B3,B4,B5,E1,E2,Sum_Balls,Even_Count,Max_Gap,Has_13,Div_3_Count,Div_5_Count
2004-05-13 06:33:40.519010,22,6,9,12,41,48,1,11,116,3,29,False,4,0
2004-05-17 13:43:51.019915,23,3,8,21,38,50,10,12,120,3,17,False,2,1
2004-05-21 20:54:01.520820,24,6,12,18,27,31,1,8,94,3,9,False,4,0
2004-05-26 04:04:12.021726,25,1,4,11,29,42,2,8,87,2,18,False,1,0
2004-05-30 11:14:22.522631,26,11,28,38,42,47,10,11,166,3,17,False,1,0
2004-06-03 18:24:33.023536,27,16,18,27,38,48,7,10,147,4,11,False,3,0
2004-06-08 01:34:43.524441,28,7,10,14,23,41,2,10,95,2,18,False,0,1
2004-06-12 08:44:54.025347,29,1,11,22,40,48,5,8,122,3,18,False,1,1
2004-06-16 15:55:04.526252,30,10,16,22,27,28,5,11,103,4,6,False,1,1
2004-06-20 23:05:15.027157,31,28,31,32,34,36,3,5,161,4,3,False,1,0
2004-06-25 06:15:25.528062,32,1,5,17,21,40,2,11,84,1,19,False,1,2
2004-06-29 13:25:36.028968,33,1,8,16,36,43,6,9,104,3,20,False,1,0
2004-07-03 20:35:46.529873,34,7,18,21,32,36,2,7,114,3,11,False,3,0
2004-07-08 03:45:57.030778,35,3,16,30,31,34,4,9,114,3,14,False,2,1
2004-07-12 10:56:07.531683,36,10,15,29,45,49,6,12,148,1,16,False,2,3
2004-07-16 18:06:18.032589,37,1,13,18,40,50,7,10,122,3,22,True,1,2
2004-07-21 01:16:28.533494,38,3,15,34,38,43,4,11,133,2,19,False,2,1
2004-07-25 08:26:39.034399,39,12,26,30,31,41,2,6,140,3,14,False,2,1
2004-07-29 15:36:49.535304,40,11,14,18,26,49,3,10,118,3,23,False,1,0
2004-08-02 22:47:00.036210,41,17,19,42,43,46,1,9,167,2,23,False,1,0
2004-08-07 05:57:10.537115,42,22,23,27,30,43,2,8,145,2,13,False,2,1
2004-08-11 13:07:21.038020,43,8,9,31,33,41,11,12,122,1,22,False,2,0
2004-08-15 20:17:31.538925,44,7,14,26,43,49,1,4,139,2,17,False,0,0
2004-08-20 03:27:42.039831,45,1,7,26,32,45,10,11,111,2,19,False,1,1
2004-08-24 10:37:52.540736,46,4,10,14,16,37,7,11,81,4,21,False,0,1
2004-08-28 17:48:03.041641,47,28,43,44,46,48,1,12,209,4,15,False,1,0
2004-09-02 00:58:13.542546,48,23,27,41,44,45,4,9,180,1,14,False,2,1
2004-09-06 08:08:24.043452,49,11,18,19,28,46,1,12,122,3,18,False,1,0
2004-09-10 15:18:34.544357,50,15,35,42,45,47,1,9,184,1,20,False,3,3
2004-09-14 22:28:45.045262,51,19,30,36,38,39,1,5,162,3,11,False,3,1
2004-09-19 05:38:55.546167,52,17,20,26,35,46,7,12,144,3,11,False,0,2
2004-09-23 12:49:06.047073,53,7,10,14,38,42,8,9,111,4,24,False,1,1
2004-09-27 19:59:16.547978,54,1,2,5,22,25,2,12,55,2,17,False,0,2
2004-10-02 03:09:27.048883,55,10,15,18,19,36,2,5,98,3,17,False,3,2
2004-10-06 10:19:37.549788,56,9,11,20,21,29,2,3,90,1,9,False,2,1
2004-10-10 17:29:48.050694,57,6,9,10,36,44,4,5,105,4,26,False,3,1
2004-10-15 00:39:58.551599,58,14,22,37,40,41,5,11,154,3,15,False,0,1
2004-10-19 07:50:09.052504,59,7,16,39,40,45,3,12,147,2,23,False,2,2
2004-10-23 15:00:19.553409,60,9,10,33,36,47,3,7,135,2,23,False,3,1
2004-10-27 22:10:30.054315,61,10,21,35,45,49,9,12,160,1,14,False,2,3
2004-11-01 05:20:40.555220,62,10,18,22,41,43,1,5,134,3,19,False,1,1
2004-11-05 12:30:51.056125,63,5,6,33,34,44,4,5,122,3,27,False,2,1
2004-11-09 19:41:01.557030,64,2,22,30,31,40,11,12,125,4,20,False,1,2
2004-11-14 02:51:12.057936,65,15,20,28,30,49,2,10,142,3,19,False,2,3
2004-11-18 10:01:22.558841,66,2,10,19,22,42,3,5,95,4,20,False,1,1
2004-11-22 17:11:33.059746,67,3,33,36,39,43,1,3,154,1,30,False,4,0
2004-11-27 00:21:43.560651,68,14,15,21,41,43,8,10,134,1,20,False,2,1
2004-12-01 07:31:54.061557,69,6,16,32,35,39,6,8,128,3,16,False,2,1
2004-12-05 14:42:04.562462,70,2,6,24,48,49,5,6,129,4,24,False,3,0
2004-12-09 21:52:15.063367,71,2,17,27,43,44,2,5,133,2,16,False,1,0
2004-12-14 05:02:25.564272,72,5,7,8,11,48,2,5,79,2,37,False,1,1
2004-12-18 12:12:36.065178,73,17,26,33,36,43,4,7,155,2,9,False,2,0
2004-12-22 19:22:46.566083,74,1,16,22,31,43,2,9,113,2,15,False,0,0
2004-12-27 02:32:57.066988,75,5,8,14,28,36,7,10,91,4,14,False,1,1
2004-12-31 09:43:07.567893,76,2,21,34,39,43,3,12,139,2,19,False,2,0
2005-01-04 16:53:18.068799,77,8,9,12,16,26,9,10,71,4,10,False,2,0
2005-01-09 00:03:28.569704,78,18,19,26,28,29,5,6,120,3,7,False,1,0
2005-01-13 07:13:39.070609,79,4,11,12,30,44,2,3,101,4,18,False,2,1
2005-01-17 14:23:49.571514,80,1,5,24,46,50,5,6,126,3,22,False,1,2
2005-01-21 21:34:00.072420,81,20,27,34,43,50,4,5,174,3,9,False,1,2
2005-01-26 04:44:10.573325,82,16,17,35,43,47,2,11,158,1,18,False,0,1
2005-01-30 11:54:21.074230,83,1,6,9,23,37,8,9,76,1,14,False,2,0
2005-02-03 19:04:31.575135,84,9,26,31,32,43,2,9,141,2,17,False,1,0
2005-02-08 02:14:42.076041,85,1,21,26,28,50,8,11,126,3,22,False,1,1
2005-02-12 09:24:52.576946,86,6,14,20,41,44,5,11,125,4,21,False,1,1
2005-02-16 16:35:03.077851,87,18,20,27,46,47,3,12,158,3,19,False,2,1
2005-02-20 23:45:13.578756,88,3,6,42,45,50,5,12,146,3,36,False,4,2
2005-02-25 06:55:24.079662,89,3,16,20,46,48,3,7,133,4,26,False,2,1
2005-03-01 14:05:34.580567,90,8,13,29,41,45,9,10,136,1,16,True,1,1
2005-03-05 21:15:45.081472,91,15,30,31,42,48,3,9,166,3,15,False,4,2
2005-03-10 04:25:55.582377,92,2,7,9,10,12,7,9,40,3,5,False,2,1
2005-03-14 11:36:06.083283,93,9,23,29,31,38,6,10,130,1,14,False,1,0
2005-03-18 18:46:16.584188,94,2,7,13,40,44,4,8,106,3,27,True,0,1
2005-03-23 01:56:27.085093,95,8,9,36,37,43,3,10,133,2,27,False,2,0
2005-03-27 09:06:37.585998,96,1,34,35,48,50,1,10,168,3,33,False,1,2
2005-03-31 16:16:48.086904,97,16,25,28,40,46,8,9,155,4,12,False,0,2
2005-04-04 23:26:58.587809,98,7,14,18,39,47,5,6,125,2,21,False,2,0
2005-04-09 06:37:09.088714,99,8,9,11,33,50,3,5,111,2,22,False,2,1
2005-04-13 13:47:19.589619,100,18,26,41,42,45,7,11,172,3,15,False,3,1
2005-04-17 20:57:30.090525,101,1,5,14,34,42,2,6,96,3,20,False,1,1
2005-04-22 04:07:40.591430,102,29,35,42,45,48,3,4,199,2,7,False,3,2
2005-04-26 11:17:51.092335,103,12,13,22,35,37,3,11,119,2,13,True,1,1
2005-04-30 18:28:01.593240,104,8,24,25,38,48,1,2,143,4,16,False,2,1
2005-05-05 01:38:12.094146,105,1,2,18,27,33,3,11,81,2,16,False,3,0
2005-05-09 08:48:22.595051,106,10,11,22,33,35,1,6,111,2,11,False,1,2
2005-05-13 15:58:33.095956,107,4,5,15,17,34,1,5,75,2,17,False,1,2
2005-05-17 23:08:43.596861,108,7,12,32,47,48,4,10,146,3,20,False,2,0
2005-05-22 06:18:54.097767,109,1,7,12,14,35,6,12,69,2,21,False,1,1
2005-05-26 13:29:04.598672,110,12,19,22,33,36,5,12,122,3,11,False,3,0
2005-05-30 20:39:15.099577,111,5,37,40,46,50,8,10,178,3,32,False,0,3
2005-06-04 03:49:25.600482,112,11,20,21,29,50,3,12,131,2,21,False,1,2
2005-06-08 10:59:36.101388,113,3,13,24,39,47,6,12,126,1,15,True,3,0
2005-06-12 18:09:46.602293,114,2,5,25,26,29,5,12,87,2,20,False,0,2
2005-06-17 01:19:57.103198,115,7,9,10,13,37,1,10,76,1,24,True,1,1
2005-06-21 08:30:07.604103,116,11,25,39,46,50,10,12,171,2,14,False,1,2
2005-06-25 15:40:18.105009,117,3,20,24,34,48,3,6,129,4,17,False,3,1
2005-06-29 22:50:28.605914,118,6,7,30,39,41,3,5,123,2,23,False,3,1
2005-07-04 06:00:39.106819,119,15,19,30,32,45,5,6,141,2,13,False,3,3
2005-07-08 13:10:49.607724,120,1,2,14,24,44,6,9,85,4,20,False,1,0
2005-07-12 20:21:00.108630,121,3,13,32,42,46,4,5,136,3,19,True,2,0
2005-07-17 03:31:10.609535,122,9,16,36,41,50,10,12,152,3,20,False,2,1
2005-07-21 10:41:21.110440,123,17,21,36,38,48,7,11,160,3,15,False,3,0
2005-07-25 17:51:31.611345,124,8,18,41,46,50,1,8,163,4,23,False,1,1
2005-07-30 01:01:42.112251,125,22,30,33,44,50,8,12,179,4,11,False,2,2
2005-08-03 08:11:52.613156,126,1,6,7,8,32,3,8,54,3,24,False,1,0
2005-08-07 15:22:03.114061,127,2,3,23,46,47,4,10,121,2,23,False,1,0
2005-08-11 22:32:13.614966,128,8,11,12,26,50,2,3,107,4,24,False,1,1
2005-08-16 05:42:24.115872,129,8,40,45,47,50,8,9,190,3,32,False,1,3
2005-08-20 12:52:34.616777,130,3,9,11,34,50,1,4,107,2,23,False,2,1
2005-08-24 20:02:45.117682,131,1,21,28,31,45,9,12,126,1,20,False,2,1
2005-08-29 03:12:55.618587,132,14,17,19,29,32,9,10,111,2,10,False,0,0
2005-09-02 10:23:06.119493,133,4,12,28,32,47,2,8,123,4,16,False,1,0
2005-09-06 17:33:16.620398,134,7,8,14,17,47,2,7,93,2,30,False,0,0
2005-09-11 00:43:27.121303,135,1,3,29,44,46,2,10,123,2,26,False,1,0
2005-09-15 07:53:37.622208,136,15,24,29,37,46,6,9,151,2,9,False,2,1
2005-09-19 15:03:48.123114,137,14,25,27,38,39,2,3,143,2,11,False,2,1
2005-09-23 22:13:58.624019,138,6,8,10,38,47,3,7,109,4,28,False,1,1
2005-09-28 05:24:09.124924,139,7,17,22,24,37,7,11,107,2,13,False,1,0
2005-10-02 12:34:19.625829,140,1,14,15,19,28,5,9,77,2,13,False,1,1
2005-10-06 19:44:30.126735,141,3,4,20,28,34,5,12,89,4,16,False,1,1
2005-10-11 02:54:40.627640,142,1,8,32,42,45,1,10,128,3,24,False,2,1
2005-10-15 10:04:51.128545,143,5,30,36,37,47,4,12,155,2,25,False,2,2
2005-10-19 17:15:01.629450,144,4,8,17,42,44,3,7,115,4,25,False,1,0
2005-10-24 00:25:12.130356,145,2,8,11,31,50,6,9,102,3,20,False,0,1
2005-10-28 07:35:22.631261,146,14,23,43,46,47,4,8,173,2,20,False,0,0
2005-11-01 14:45:33.132166,147,1,6,29,34,45,1,4,115,2,23,False,2,1
2005-11-05 21:55:43.633071,148,6,27,31,32,33,3,5,129,2,21,False,3,0
2005-11-10 05:05:54.133977,149,16,26,35,39,50,1,12,166,3,11,False,1,2
2005-11-14 12:16:04.634882,150,1,6,8,15,40,4,7,70,3,25,False,2,2
2005-11-18 19:26:15.135787,151,16,18,25,28,32,5,10,119,4,7,False,1,1
2005-11-23 02:36:25.636692,152,2,22,23,41,50,2,11,138,3,20,False,0,1
2005-11-27 09:46:36.137598,153,3,6,19,30,39,4,5,97,2,13,False,4,1
2005-12-01 16:56:46.638503,154,1,5,11,30,41,5,12,88,1,19,False,1,2
2005-12-06 00:06:57.139408,155,15,44,45,47,50,8,11,201,2,29,False,2,3
2005-12-10 07:17:07.640313,156,23,37,46,48,49,8,12,203,2,14,False,1,0
2005-12-14 14:27:18.141219,157,14,20,27,42,50,7,12,153,4,15,False,2,2
2005-12-18 21:37:28.642124,158,22,27,35,47,49,2,6,180,1,12,False,1,1
2005-12-23 04:47:39.143029,159,9,18,21,29,31,1,6,108,1,9,False,3,0
2005-12-27 11:57:49.643934,160,9,25,27,42,50,6,8,153,2,16,False,3,2
2005-12-31 19:08:00.144840,161,5,11,15,16,23,9,10,70,1,7,False,1,2
2006-01-05 02:18:10.645745,162,12,17,23,35,50,6,8,137,2,15,False,1,2
2006-01-09 09:28:21.146650,163,3,11,30,37,45,8,10,126,1,19,False,3,2
2006-01-13 16:38:31.647555,164,18,27,29,39,43,9,11,156,1,10,False,3,0
2006-01-17 23:48:42.148461,165,20,27,28,44,48,8,11,167,4,16,False,2,1
2006-01-22 06:58:52.649366,166,1,6,7,37,42,3,6,93,2,30,False,2,0
2006-01-26 14:09:03.150271,167,4,7,23,35,38,5,8,107,2,16,False,0,1
2006-01-30 21:19:13.651176,168,26,27,29,35,46,6,11,163,2,11,False,1,1
2006-02-04 04:29:24.152082,169,6,7,34,37,50,8,12,134,3,27,False,1,1
2006-02-08 11:39:34.652987,170,5,11,18,39,49,3,11,122,1,21,False,2,1
2006-02-12 18:49:45.153892,171,14,34,36,38,42,6,9,164,5,20,False,2,0
2006-02-17 01:59:55.654797,172,5,7,16,25,32,4,12,85,2,9,False,0,2
2006-02-21 09:10:06.155703,173,3,12,22,27,49,9,12,113,2,22,False,3,0
2006-02-25 16:20:16.656608,174,28,35,40,42,47,3,9,192,3,7,False,1,2
2006-03-01 23:30:27.157513,175,7,20,31,34,41,3,9,133,2,13,False,0,1
2006-03-06 06:40:37.658418,176,2,8,34,38,46,5,8,128,5,26,False,0,0
2006-03-10 13:50:48.159324,177,4,15,26,28,34,2,12,107,4,11,False,1,1
2006-03-14 21:00:58.660229,178,2,6,7,13,37,5,11,65,2,24,True,1,0
2006-03-19 04:11:09.161134,179,20,33,40,45,49,9,12,187,2,13,False,2,3
2006-03-23 11:21:19.662039,180,11,17,29,35,43,4,12,135,0,12,False,0,1
2006-03-27 18:31:30.162945,181,26,39,42,47,49,3,12,203,2,13,False,2,0
2006-04-01 01:41:40.663850,182,11,15,40,45,49,4,12,160,1,25,False,2,3
2006-04-05 08:51:51.164755,183,10,15,26,31,41,3,12,123,2,11,False,1,2
2006-04-09 16:02:01.665660,184,3,32,34,40,48,1,12,157,4,29,False,2,1
2006-04-13 23:12:12.166566,185,18,21,32,37,42,10,11,150,3,11,False,3,0
2006-04-18 06:22:22.667471,186,3,7,32,44,49,9,12,135,2,25,False,1,0
2006-04-22 13:32:33.168376,187,21,27,28,41,50,1,3,167,2,13,False,2,1
2006-04-26 20:42:43.669281,188,8,13,19,21,49,2,6,110,1,28,True,1,0
2006-05-01 03:52:54.170187,189,5,19,23,25,49,2,12,121,0,24,False,0,2
2006-05-05 11:03:04.671092,190,2,5,8,18,44,2,11,77,4,26,False,1,1
2006-05-09 18:13:15.171997,191,1,9,18,36,39,3,4,103,2,18,False,4,0
2006-05-14 01:23:25.672902,192,6,15,17,25,26,8,11,89,2,9,False,2,2
2006-05-18 08:33:36.173808,193,4,9,16,17,36,2,11,82,3,19,False,2,0
2006-05-22 15:43:46.674713,194,14,34,47,49,50,1,3,194,3,20,False,0,1
2006-05-26 22:53:57.175618,195,13,27,38,40,48,8,11,166,3,14,True,2,1
2006-05-31 06:04:07.676523,196,23,28,31,35,39,2,4,156,1,5,False,1,1
2006-06-04 13:14:18.177429,197,9,15,23,30,34,4,8,111,2,8,False,3,2
2006-06-08 20:24:28.678334,198,10,12,19,33,43,6,11,117,2,14,False,2,1
2006-06-13 03:34:39.179239,199,14,30,35,43,46,2,10,168,3,16,False,1,2
2006-06-17 10:44:49.680144,200,33,34,40,44,49,6,8,200,3,6,False,1,1
2006-06-21 17:55:00.181050,201,5,23,27,41,44,7,10,140,1,18,False,1,1
2006-06-26 01:05:10.681955,202,2,12,17,28,44,3,7,103,4,16,False,1,0
2006-06-30 08:15:21.182860,203,3,25,27,30,39,2,6,124,1,22,False,4,2
2006-07-04 15:25:31.683765,204,8,13,26,30,35,9,11,112,3,13,True,1,2
2006-07-08 22:35:42.184671,205,2,9,18,27,29,6,7,85,2,9,False,3,0
2006-07-13 05:45:52.685576,206,7,10,24,27,32,2,12,100,3,14,False,2,1
2006-07-17 12:56:03.186481,207,31,37,40,48,49,6,10,205,2,8,False,1,1
2006-07-21 20:06:13.687386,208,11,13,20,31,39,9,10,114,1,11,True,1,1
2006-07-26 03:16:24.188292,209,9,18,30,31,36,6,9,124,3,12,False,4,1
2006-07-30 10:26:34.689197,210,17,33,34,38,39,3,12,161,2,16,False,2,0
2006-08-03 17:36:45.190102,211,4,11,24,27,50,6,10,116,3,23,False,2,1
2006-08-08 00:46:55.691007,212,26,31,37,38,50,3,7,182,3,12,False,0,1
2006-08-12 07:57:06.191913,213,2,25,31,33,42,2,9,133,2,23,False,2,1
2006-08-16 15:07:16.692818,214,1,3,9,15,42,2,4,70,1,27,False,4,1
2006-08-20 22:17:27.193723,215,2,3,8,12,39,4,9,64,3,27,False,3,0
2006-08-25 05:27:37.694628,216,2,8,26,30,47,1,3,113,4,18,False,1,1
2006-08-29 12:37:48.195534,217,24,37,44,48,50,4,8,203,4,13,False,2,1
2006-09-02 19:47:58.696439,218,9,26,30,36,42,2,9,143,4,17,False,4,1
2006-09-07 02:58:09.197344,219,7,12,25,34,42,6,11,120,3,13,False,2,1
2006-09-11 10:08:19.698249,220,4,23,27,33,43,3,5,130,1,19,False,2,0
2006-09-15 17:18:30.199155,221,2,24,29,42,43,1,8,140,3,22,False,2,0
2006-09-20 00:28:40.700060,222,2,9,16,17,49,3,12,93,2,32,False,1,0
2006-09-24 07:38:51.200965,223,7,9,23,34,39,2,7,112,1,14,False,2,0
2006-09-28 14:49:01.701870,224,10,12,31,35,43,7,10,131,2,19,False,1,2
2006-10-02 21:59:12.202776,225,25,33,34,35,41,5,12,168,1,8,False,1,2
2006-10-07 05:09:22.703681,226,4,14,19,33,41,3,8,111,2,14,False,1,0
2006-10-11 12:19:33.204586,227,2,11,28,42,45,4,11,128,3,17,False,2,1
2006-10-15 19:29:43.705491,228,8,9,27,31,49,8,11,124,1,18,False,2,0
2006-10-20 02:39:54.206397,229,6,25,38,45,46,6,8,160,3,19,False,2,2
2006-10-24 09:50:04.707302,230,1,15,36,44,48,7,9,144,3,21,False,3,1
2006-10-28 17:00:15.208207,231,9,12,27,29,36,6,12,113,2,15,False,4,0
2006-11-02 00:10:25.709112,232,8,18,25,34,35,2,4,120,3,10,False,1,2
2006-11-06 07:20:36.210018,233,15,34,42,47,49,8,9,187,2,19,False,2,1
2006-11-10 14:30:46.710923,234,20,24,26,29,40,5,12,139,4,11,False,1,2
2006-11-14 21:40:57.211828,235,26,31,39,42,48,6,9,186,3,8,False,3,0
2006-11-19 04:51:07.712733,236,6,11,17,37,41,1,3,112,1,20,False,1,0
2006-11-23 12:01:18.213639,237,9,31,42,43,46,6,7,171,2,22,False,2,0
2006-11-27 19:11:28.714544,238,5,6,11,24,36,3,12,82,3,13,False,3,1
2006-12-02 02:21:39.215449,239,1,8,16,29,41,4,5,95,2,13,False,0,0
2006-12-06 09:31:49.716354,240,1,3,7,23,33,6,9,67,0,16,False,2,0
2006-12-10 16:42:00.217260,241,9,12,25,38,43,1,10,127,2,13,False,2,1
2006-12-14 23:52:10.718165,242,5,38,41,44,49,2,5,177,2,33,False,0,1
2006-12-19 07:02:21.219070,243,3,5,10,31,37,6,9,86,1,21,False,1,2
2006-12-23 14:12:31.719975,244,5,23,36,43,49,3,8,156,1,18,False,1,1
2006-12-27 21:22:42.220881,245,12,22,28,37,48,5,6,147,4,11,False,2,0
2007-01-01 04:32:52.721786,246,15,28,30,41,42,7,8,156,3,13,False,3,2
2007-01-05 11:43:03.222691,247,16,19,24,39,48,3,4,146,3,15,False,3,0
2007-01-09 18:53:13.723596,248,5,10,27,45,48,1,2,135,2,18,False,3,3
2007-01-14 02:03:24.224502,249,8,18,31,37,40,2,5,134,3,13,False,1,1
2007-01-18 09:13:34.725407,250,12,14,17,21,37,4,5,101,2,16,False,2,0
2007-01-22 16:23:45.226312,251,5,16,17,20,37,4,9,95,2,17,False,0,2
2007-01-26 23:33:55.727217,252,2,19,25,29,41,1,10,116,1,17,False,0,1
2007-01-31 06:44:06.228123,253,16,25,26,34,45,1,7,146,3,11,False,1,2
2007-02-04 13:54:16.729028,254,12,14,19,25,41,5,8,111,2,16,False,1,1
2007-02-08 21:04:27.229933,255,3,6,11,34,50,4,12,104,3,23,False,2,1
2007-02-13 04:14:37.730838,256,1,3,11,15,36,4,12,66,1,21,False,3,1
2007-02-17 11:24:48.231744,257,6,12,23,33,41,3,10,115,2,11,False,3,0
2007-02-21 18:34:58.732649,258,4,18,28,37,39,4,7,126,3,14,False,2,0
2007-02-26 01:45:09.233554,259,7,15,24,27,37,6,7,110,1,10,False,3,1
2007-03-02 08:55:19.734459,260,13,24,33,36,49,10,12,155,2,13,True,3,0
2007-03-06 16:05:30.235365,261,3,8,27,28,36,1,6,102,3,19,False,3,0
2007-03-10 23:15:40.736270,262,5,22,25,26,41,6,7,119,2,17,False,0,2
2007-03-15 06:25:51.237175,263,1,15,16,33,43,2,4,108,1,17,False,2,1
2007-03-19 13:36:01.738080,264,8,12,14,24,32,7,8,90,5,10,False,2,0
2007-03-23 20:46:12.238986,265,9,14,16,21,50,2,12,110,3,29,False,2,1
2007-03-28 03:56:22.739891,266,2,27,43,46,49,4,7,167,2,25,False,1,0
2007-04-01 11:06:33.240796,267,8,18,24,29,30,2,4,109,4,10,False,3,1
2007-04-05 18:16:43.741701,268,3,7,17,18,32,3,9,77,2,14,False,2,0
2007-04-10 01:26:54.242607,269,2,4,30,36,38,2,3,110,5,26,False,2,1
2007-04-14 08:37:04.743512,270,1,10,11,17,32,3,11,71,2,15,False,0,1
2007-04-18 15:47:15.244417,271,7,12,13,24,44,1,12,100,3,20,True,2,0
2007-04-22 22:57:25.745322,272,13,25,29,46,48,6,7,161,2,17,True,1,1
2007-04-27 06:07:36.246228,273,17,30,33,41,43,8,12,164,1,13,False,2,1
2007-05-01 13:17:46.747133,274,12,26,28,35,48,5,6,149,4,14,False,2,1
2007-05-05 20:27:57.248038,275,19,27,32,35,38,7,9,151,2,8,False,1,1
2007-05-10 03:38:07.748943,276,5,14,32,33,35,6,8,119,2,18,False,1,2
2007-05-14 10:48:18.249849,277,13,30,35,41,47,2,9,166,1,17,True,1,2
2007-05-18 17:58:28.750754,278,11,26,29,45,47,5,8,158,1,16,False,1,1
2007-05-23 01:08:39.251659,279,5,7,12,18,23,7,10,65,2,6,False,2,1
2007-05-27 08:18:49.752564,280,5,6,8,14,33,5,6,66,3,19,False,2,1
2007-05-31 15:29:00.253470,281,3,10,16,23,44,10,11,96,3,21,False,1,1
2007-06-04 22:39:10.754375,282,2,6,11,28,37,3,7,84,3,17,False,1,0
2007-06-09 05:49:21.255280,283,3,4,12,32,44,7,8,95,4,20,False,2,0
2007-06-13 12:59:31.756185,284,7,36,38,46,47,8,10,174,3,29,False,1,0
2007-06-17 20:09:42.257091,285,1,30,37,42,45,5,9,155,2,29,False,3,2
2007-06-22 03:19:52.757996,286,6,19,23,35,47,5,6,130,1,13,False,1,1
2007-06-26 10:30:03.258901,287,10,19,26,36,38,6,12,129,4,10,False,1,1
2007-06-30 17:40:13.759806,288,4,10,20,25,30,4,12,89,4,10,False,1,4
2007-07-05 00:50:24.260712,289,10,14,16,17,42,4,9,99,4,25,False,1,1
2007-07-09 08:00:34.761617,290,13,34,39,43,49,10,11,178,1,21,True,1,0
2007-07-13 15:10:45.262522,291,13,25,27,30,46,10,11,141,2,16,True,2,2
2007-07-17 22:20:55.763427,292,2,18,24,28,36,5,8,108,5,16,False,3,0
2007-07-22 05:31:06.264333,293,16,20,36,37,42,4,10,151,4,16,False,2,1
2007-07-26 12:41:16.765238,294,5,16,19,32,37,4,8,109,2,13,False,0,1
2007-07-30 19:51:27.266143,295,1,11,13,45,47,8,12,117,0,32,True,1,1
2007-08-04 03:01:37.767048,296,3,26,41,44,47,2,7,161,2,23,False,1,0
2007-08-08 10:11:48.267954,297,4,18,22,32,40,1,6,116,5,14,False,1,1
2007-08-12 17:21:58.768859,298,3,17,19,27,35,1,11,101,0,14,False,2,1
2007-08-17 00:32:09.269764,299,11,14,21,41,43,1,9,130,1,20,False,1,0
2007-08-21 07:42:19.770669,300,3,6,8,10,26,2,9,53,4,16,False,2,1
2007-08-25 14:52:30.271575,301,7,12,16,23,49,6,12,107,2,26,False,1,0
2007-08-29 22:02:40.772480,302,2,25,36,37,44,6,12,144,3,23,False,1,1
2007-09-03 05:12:51.273385,303,6,11,15,16,23,7,11,71,2,7,False,2,1
2007-09-07 12:23:01.774290,304,5,25,28,33,49,1,6,140,1,20,False,1,2
2007-09-11 19:33:12.275196,305,1,21,35,36,50,2,9,143,2,20,False,2,2
2007-09-16 02:43:22.776101,306,9,22,26,30,38,8,10,125,4,13,False,2,1
2007-09-20 09:53:33.277006,307,12,30,31,34,39,1,5,146,3,18,False,3,1
2007-09-24 17:03:43.777911,308,14,16,24,29,34,6,7,117,4,8,False,1,0
2007-09-29 00:13:54.278817,309,4,13,22,40,46,11,12,125,4,18,True,0,1
2007-10-03 07:24:04.779722,310,1,11,14,18,27,2,3,71,2,10,False,2,0
2007-10-07 14:34:15.280627,311,5,12,18,36,41,7,10,112,3,18,False,3,1
2007-10-11 21:44:25.781532,312,14,25,32,40,49,11,12,160,3,11,False,0,2
2007-10-16 04:54:36.282438,313,9,10,23,25,27,7,12,94,1,13,False,2,2
2007-10-20 12:04:46.783343,314,11,26,32,37,43,5,10,149,2,15,False,0,0
2007-10-24 19:14:57.284248,315,37,41,46,47,49,3,10,220,1,5,False,0,0
